iter	Passed	Remaining
0	4	465
1	8	433
2	13	426
3	17	410
4	19	374
5	21	337
6	23	308
7	25	287
8	26	270
9	28	256
10	30	243
11	32	234
12	35	234
13	37	229
14	39	222
15	40	213
16	42	205
17	43	197
18	44	190
19	46	184
20	47	178
21	48	172
22	50	167
23	51	163
24	53	159
25	54	155
26	55	150
27	56	146
28	58	142
29	59	139
30	60	135
31	62	131
32	63	128
33	64	125
34	66	123
35	67	120
36	68	117
37	70	114
38	71	112
39	73	109
40	74	106
41	75	104
42	77	102
43	78	100
44	80	98
45	81	95
46	82	93
47	84	91
48	85	89
49	86	86
50	88	84
51	89	82
52	90	80
53	92	78
54	94	77
55	95	75
56	97	73
57	98	71
58	100	69
59	101	67
60	102	65
61	104	63
62	105	62
63	107	60
64	108	58
65	109	56
66	110	54
67	112	52
68	113	51
69	114	49
70	116	47
71	117	45
72	118	43
73	120	42
74	122	40
75	124	39
76	125	37
77	127	35
78	128	34
79	129	32
80	131	30
81	132	29
82	133	27
83	134	25
84	136	24
85	137	22
86	139	20
87	140	19
88	141	17
89	142	15
90	144	14
91	145	12
92	146	11
93	148	9
94	149	7
95	150	6
96	151	4
97	153	3
98	154	1
99	156	0
